feature_set,model,C,holdout_session,samples,accuracy,balanced_accuracy,macro_f1,threshold,cm00,cm01,cm10,cm11
lr12_shape,linear,0.003,glasses_test_v2,422,0.7890995260663507,0.7890995260663507,0.7814400353811328,0.0,206,5,84,127
lr12_shape,linear,0.003,noglasses_highlight_v1,291,0.7800687285223368,0.7894736842105263,0.7730994152046784,-0.10912363455188974,139,0,64,88
lr12_shape,linear,0.003,noglasses_test_v2,402,1.0,1.0,1.0,-0.08867434806524446,211,0,0,191
lr12_shape,linear,0.01,glasses_highlight_v1,422,0.5876777251184834,0.5876777251184835,0.5849837221920782,0.0,141,70,104,107
lr12_shape,linear,0.01,glasses_highlight_v2,422,0.9691943127962085,0.9691943127962086,0.9691650507264705,0.0,198,13,0,211
lr12_shape,linear,0.01,glasses_test_v2,422,0.7606635071090048,0.7606635071090047,0.747886832407621,0.14544984991262996,208,3,98,113
lr12_shape,linear,0.01,noglasses_highlight_v1,291,0.7525773195876289,0.7603890571753124,0.7475662650602409,-0.09188849912605943,130,9,63,89
lr12_shape,linear,0.01,noglasses_test_v2,402,1.0,1.0,1.0,-0.05202193199989956,211,0,0,191
lr12_shape,linear,0.03,glasses_highlight_v1,422,0.5924170616113744,0.5924170616113744,0.5900598667118491,0.0,141,70,102,109
lr12_shape,linear,0.03,glasses_highlight_v2,422,0.9597156398104265,0.9597156398104265,0.9596501588908575,0.0810966324766515,194,17,0,211
lr12_shape,linear,0.03,glasses_test_v2,422,0.7582938388625592,0.7582938388625593,0.7478205849268842,-0.14195465759514028,203,8,94,117
lr12_shape,linear,0.03,noglasses_highlight_v1,291,0.7079037800687286,0.7142417644831502,0.7043283885389149,-0.12447321791558591,119,20,65,87
lr12_shape,linear,0.03,noglasses_test_v2,402,1.0,1.0,1.0,0.07044934105616035,211,0,0,191
lr8_shape,linear,0.0003,glasses_highlight_v1,422,0.6445497630331753,0.6445497630331753,0.6433963539671452,0.10925312023867567,148,63,87,124
lr8_shape,linear,0.0003,glasses_highlight_v2,422,1.0,1.0,1.0,0.018197812012385635,211,0,0,211
lr8_shape,linear,0.0003,glasses_test_v2,422,0.8909952606635071,0.8909952606635071,0.8905799062049062,0.10782053434722508,201,10,36,175
lr8_shape,linear,0.0003,noglasses_highlight_v1,291,0.584192439862543,0.5939748201438849,0.5682016064749524,0.15279502579986115,113,26,95,57
lr8_shape,linear,0.0003,noglasses_test_v2,402,1.0,1.0,1.0,-0.023847949243586884,211,0,0,191
