feature_set,model,C,frame_feature_count,window_size,input_dim,hw_dim_or_terms,samples,sessions,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,micro_accuracy,false_closed_rate,missed_closed_rate,cm00,cm01,cm10,cm11,threshold_mean,support_vectors_mean,support_vectors_max,hw_note
avg4_dark,linear,0.001,4,15,60,60,1959,5,0.7478786990439895,0.7509630085903838,0.7303874712580529,0.7631444614599285,0.21973550356052898,0.2540983606557377,767,216,248,728,0.0,0.0,0,"60 MACs/window, simple HLS update"
avg10_robust,linear,0.0003,10,15,150,150,1959,5,0.7442533509226233,0.7474956079037991,0.7301986363372881,0.7585502807554875,0.23092573753814852,0.2520491803278688,756,227,246,730,0.0,0.0,0,"150 MACs/window, simple HLS update"
avg6_shape,linear,0.0003,6,15,90,90,1959,5,0.7447028550023616,0.747471269679193,0.7346441961547112,0.7611026033690659,0.2115971515768057,0.26639344262295084,775,208,260,716,0.0,0.0,0,"90 MACs/window, simple HLS update"
lr4,linear,0.0003,4,15,60,60,1959,5,0.7435872379928665,0.7436474990623615,0.7329629115696884,0.7651863195507912,0.22177009155645983,0.24795081967213115,765,218,242,734,0.0,0.0,0,"60 MACs/window, simple HLS update"
avg8_runs,poly2_linear,0.0003,8,15,120,7380,1959,5,0.7331167244833147,0.73668037383513,0.7159079540532944,0.7442572741194488,0.24008138351983724,0.27151639344262296,747,236,265,711,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
avg8_runs,linear,0.001,8,15,120,120,1959,5,0.7314571423918178,0.7346993993729936,0.7162806910965028,0.7447677386421644,0.2126144455747711,0.29815573770491804,774,209,291,685,0.0,0.0,0,"120 MACs/window, simple HLS update"
avg6_shape,linear,1.0,6,15,90,90,1959,5,0.7310532401752414,0.7340622762453545,0.7174115870557232,0.7473200612557427,0.23499491353001017,0.27049180327868855,752,231,264,712,0.0,0.0,0,"90 MACs/window, simple HLS update"
avg6_shape,linear,0.3,6,15,90,90,1959,5,0.7305793065259524,0.7335883425960653,0.7173107469615159,0.746809596733027,0.23194303153611392,0.27459016393442626,755,228,268,708,0.0,0.0,0,"90 MACs/window, simple HLS update"
avg8_runs,linear,0.0003,8,15,120,120,1959,5,0.7298692203710038,0.7331381190881668,0.7129201790132477,0.743746809596733,0.23194303153611392,0.2807377049180328,755,228,274,702,0.0,0.0,0,"120 MACs/window, simple HLS update"
avg6_shape,linear,0.1,6,15,90,90,1959,5,0.7298920213025847,0.7328689181356337,0.7170276692050657,0.7462991322103114,0.23092573753814852,0.2766393442622951,756,227,270,706,0.0,0.0,0,"90 MACs/window, simple HLS update"
