feature_set,model,C,holdout_session,samples,accuracy,balanced_accuracy,macro_f1,threshold,cm00,cm01,cm10,cm11
avg6_shape,linear,0.0003,glasses_test_v2,422,0.8388625592417062,0.8388625592417062,0.8379306449791031,0.0,161,50,18,193
avg6_shape,linear,0.0003,noglasses_highlight_v1,291,0.46048109965635736,0.47432317304051497,0.41143961352657005,0.0,109,30,127,25
avg6_shape,linear,0.0003,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg6_shape,linear,0.001,glasses_highlight_v1,422,0.36018957345971564,0.36018957345971564,0.3560092240911557,0.0,93,118,152,59
avg6_shape,linear,0.001,glasses_highlight_v2,422,0.990521327014218,0.990521327014218,0.9905204753240335,0.0,207,4,0,211
avg6_shape,linear,0.001,glasses_test_v2,422,0.8388625592417062,0.8388625592417062,0.8381500282007897,0.0,163,48,20,191
avg6_shape,linear,0.001,noglasses_highlight_v1,291,0.44329896907216493,0.45818345323741005,0.3829581151832461,0.0,110,29,133,19
avg6_shape,linear,0.001,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg6_shape,linear,0.003,glasses_highlight_v1,422,0.3293838862559242,0.3293838862559242,0.3202188031852826,0.0,94,117,166,45
avg6_shape,linear,0.003,glasses_highlight_v2,422,0.990521327014218,0.990521327014218,0.9905204753240335,0.0,207,4,0,211
avg6_shape,linear,0.003,glasses_test_v2,422,0.8412322274881516,0.8412322274881516,0.8406730568751092,0.0,165,46,21,190
avg6_shape,linear,0.003,noglasses_highlight_v1,291,0.44329896907216493,0.45818345323741005,0.3829581151832461,0.0,110,29,133,19
avg6_shape,linear,0.003,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg6_shape,linear,0.01,glasses_highlight_v1,422,0.3293838862559242,0.3293838862559242,0.32525777564337977,0.0,86,125,158,53
avg6_shape,linear,0.01,glasses_highlight_v2,422,0.9928909952606635,0.9928909952606635,0.992890635967991,0.0,208,3,0,211
avg6_shape,linear,0.01,glasses_test_v2,422,0.8341232227488151,0.8341232227488151,0.8335849651846677,0.0,164,47,23,188
avg6_shape,linear,0.01,noglasses_highlight_v1,291,0.44329896907216493,0.45818345323741005,0.3829581151832461,0.0,110,29,133,19
avg6_shape,linear,0.01,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg6_shape,linear,0.03,glasses_highlight_v1,422,0.36255924170616116,0.36255924170616116,0.3623838009380178,0.0,73,138,131,80
avg6_shape,linear,0.03,glasses_highlight_v2,422,0.990521327014218,0.990521327014218,0.9905204753240335,0.0,207,4,0,211
avg6_shape,linear,0.03,glasses_test_v2,422,0.8293838862559242,0.8293838862559242,0.8287337662337663,0.0,162,49,23,188
avg6_shape,linear,0.03,noglasses_highlight_v1,291,0.44329896907216493,0.45818345323741005,0.3829581151832461,0.0,110,29,133,19
avg6_shape,linear,0.03,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg6_shape,linear,0.1,glasses_highlight_v1,422,0.3862559241706161,0.3862559241706161,0.3829259892842827,0.0,66,145,114,97
avg6_shape,linear,0.1,glasses_highlight_v2,422,0.990521327014218,0.990521327014218,0.9905204753240335,0.0,207,4,0,211
avg6_shape,linear,0.1,glasses_test_v2,422,0.8293838862559242,0.8293838862559242,0.8287337662337663,0.0,162,49,23,188
avg6_shape,linear,0.1,noglasses_highlight_v1,291,0.44329896907216493,0.45818345323741005,0.3829581151832461,0.0,110,29,133,19
avg6_shape,linear,0.1,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg6_shape,linear,0.3,glasses_highlight_v1,422,0.3862559241706161,0.38625592417061616,0.38200487393912663,0.0,64,147,112,99
avg6_shape,linear,0.3,glasses_highlight_v2,422,0.990521327014218,0.990521327014218,0.9905204753240335,0.0,207,4,0,211
avg6_shape,linear,0.3,glasses_test_v2,422,0.8293838862559242,0.8293838862559242,0.8287337662337663,0.0,162,49,23,188
avg6_shape,linear,0.3,noglasses_highlight_v1,291,0.44673539518900346,0.46178057553956836,0.38529461931065245,0.0,111,28,133,19
avg6_shape,linear,0.3,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg6_shape,linear,1.0,glasses_highlight_v1,422,0.3886255924170616,0.3886255924170616,0.38250907441016335,0.0,61,150,108,103
